GPU Name,Architecture,DirectX,Cache,Manufacturer,Power Consumption,Memory,Bandwidth,Memory Bus,Clock Speed,Memory Type,Notebook_GPU,Pixel Speed,Process,Release Date,Release Price,TMUs,Texture Rate
GeForce GTX 1060 Inno3D Compact 3GB,Pascal P106/300/A1 ,12.1,0,Nvidia,120,3072 ,3072,192,2002,GDDR5,No,82,16,18/08/2016 ,$249.99,72.0,123
GeForce GTX 1060 Gigabyte Mini ITX OC 6GB,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,No,84,16,19/07/2016 ,$292.00,80.0,140
GeForce GTX 1060 Gigabyte Mini ITX OC 3GB,Pascal P106/300/A1 ,12.1,0,Nvidia,120,3072 ,3072,192,2002,GDDR5,No,84,16,18/08/2016 ,$199.99,72.0,126
GeForce GTX 1060 Inno3D Compact 6GB,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,No,82,16,19/07/2016 ,$299.99,80.0,137
GeForce GTX 1060 KFA2 EX OC Black 6GB,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,No,84,16,19/07/2016 ,$0.00,80.0,141
GeForce GTX 1060 Gigabyte Xtreme Gaming 6GB,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,No,89,16,19/07/2016 ,$319.49,80.0,148
GeForce GTX 1060 Inno3D Gaming OC 6GB,Pascal P106/400/A1 ,12.1,2048,Nvidia,130,6144 ,6144,192,2002,GDDR5,No,86,16,19/07/2016 ,$349.99,80.0,143
GeForce GTX 1060 Inno3D iChill X3,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2052,GDDR5,No,86,16,19/07/2016 ,$370.00,80.0,143
GeForce GTX 1070 Gainward Phoenix GS,Pascal P104/200/A1 ,12.1,2048,Nvidia,150,8192 ,8192,256,2127,GDDR5,No,117,16,10/06/2016 ,$585.00,120.0,220
GeForce GTX 1060 KFA2 EX OChite 6GB,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,6144 ,6144,192,2002,GDDR5,No,85,16,19/07/2016 ,$330.00,80.0,142
GeForce GTX 1060 MSI Armor OCV1 3G,Pascal P106/300/A1 ,12.1,0,Nvidia,120,3072 ,3072,192,2002,GDDR5,No,84,16,18/08/2016 ,$224.00,72.0,127
GeForce GTX 1060 Galax OC 3GB,Pascal P106/400/A1 ,12.1,2048,Nvidia,120,3072 ,3072,192,2002,GDDR5,No,83,16,18/08/2016 ,$249.99,72.0,125
GeForce GTX 980 Zotac AMP! Extreme 4GB Edition SLI,Maxwell GM204/400/A1 (x2) ,12.1,2048(x2),Nvidia,350,8192 ,8192,256,1800,GDDR5,No,39,28,19/09/2014 ,$0.00,128.0,357
GeForce GTX 980 Zotac AMP! Extreme 4GB Edition,Maxwell GM204/400/A1 ,12.1,2048,Nvidia,185,4096 ,4096,256,1800,GDDR5,No,89,28,19/09/2014 ,$569.99,128.0,178
GeForce GTX 980 Ti Inno3D iChill X3 Ultra 6GB Edition,Maxwell GM200/310/A1 ,12.1,3072,Nvidia,280,6144 ,6144,384,1800,GDDR5,No,119,28,02/06/2015 ,$0.00,176.0,218
GeForce GTX 980 Ti Gigabyte XTREMEater 6GB Edition,Maxwell GM200/310/A1 ,12.1,3072,Nvidia,250,6144 ,6144,384,1800,GDDR5,No,126,28,11/11/2015 ,$0.00,176.0,232
GeForce GTX 980 Ti MSI Gaming 6GB Edition,Maxwell GM200/310/A1 ,12.1,3072,Nvidia,250,6144 ,6144,384,1775,GDDR5,No,123,28,02/06/2015 ,$679.00,176.0,225
GeForce GTX 980 Ti Inno3D iChill Black 6GB Edition,Maxwell GM200/310/A1 ,12.1,3072,Nvidia,290,6144 ,6144,384,1820,GDDR5,No,125,28,02/06/2015 ,$0.00,176.0,230
GeForce GTX 980 Ti Gigabyte XTREME 6GB Edition,Maxwell GM200/310/A1 ,12.1,3072,Nvidia,250,6144 ,6144,384,1800,GDDR5,No,126,28, 11/11/2015 ,$0.00,176.0,232
GeForce GTX 980 Ti Gigabyte G1 Gaming 6GB Edition,Maxwell GM200/310/A1 ,12.1,3072,Nvidia,250,6144 ,6144,384,1753,GDDR5,No,124,28,02/06/2015 ,$690.00,176.0,227
GeForce GTX 980 Ti Gigabyte 6GB Edition,Maxwell GM200/310/A1 ,12.1,3072,Nvidia,250,6144 ,6144,384,1753,GDDR5,No,103,28,02/06/2015 ,$649.00,176.0,189
GeForce GTX 980 Ti GigabyteindForce 3X OC 6GB Edition,Maxwell GM200/310/A1 ,12.1,3072,Nvidia,250,6144 ,6144,384,1753,GDDR5,No,124,28,01/09/2015 ,$0.00,176.0,227
